kor_sent,roman,translation_en,level
2020년 부커상 수상자인 더글러스 스튜어트는 『수영장 도서관』을 자신의 ‘인생 책’ 중 한권으로 꼽기도 했다,2020nyeon bukeosang susangjain deogeulreoseu seutyueoteuneun 『suyeongjang doseogwan』eul jasinui ‘insaeng chaek’ jung hangwoneuro kkopgido haetda,"In 2020, Douglas Stewart, a Bucker-winning winner, also listed the library of a swimming pool as one of his 'books of life'.",7
이 소설에서 최상류층으로 아무 거리낄 것 없이 분방한 생활을 즐기던 젊은 귀족 윌리엄 벡위스가 우연한 만남을 통해 지난 시대 자기 사회의 민낯을 발견해가는 과정은 곧 더없이 탄탄하게 여겨온 자신의 발밑을 허무는 과정이기도 하다,i soseoreseo choesangryucheungeuro amu georikkil geot eopsi bunbanghan saenghwareul jeulgideon jeolmeun gwijok wilrieom begwiseuga uyeonhan mannameul tonghae jinan sidae jagi sahoeui minnacheul balgyeonhaeganeun gwajeongeun got deoeopsi tantanhage yeogyeoon jasinui balmiteul heomuneun gwajeongigido hada,"In this novel, William Beckweis, a young nobleman who enjoyed the best of his life, met by chance, and the process of discovering the public appearance of his society in the last century is a very frustrating one.",10
"한편의 추리극처럼 뜻밖의 놀라움을 선사하며 펼쳐지는 중심 이야기를 축으로 격렬한 로맨스와 쓰라린 상실이 섬세하고 예리한 문장, 비틀린 유머와 함께 겹쳐지며 타올랐다 스러지는 청춘의 빛과 그늘을 그려낸다","hanpyeonui churigeukcheoreom tteutbakkui nolraumeul seonsahamyeo pyeolchyeojineun jungsim iyagireul chugeuro gyeokryeolhan romaenseuwa sseurarin sangsiri seomsehago yerihan munjang, biteulrin yumeowa hamkke gyeopchyeojimyeo taolratda seureojineun cheongchunui bitgwa geuneureul geuryeonaenda","Like a judiciary, the center story unfolds with a series of intense romances and bitter losss that overlap with delicate, sharp sentences, with a funny twist of humor, and the smudge paints the light and shade of youth.",10
"제국주의를 지나 신자유주의에 다다르기까지 영국이 나라 안팎으로 저질러온 야만적 폭거, 특권적 지위와 성소수자의 정체성을 동시에 지닌 주인공이 마침내 맞닥뜨리는 현실세계, 자신만의 다른 시간을 써가려 애쓰는 몸짓이 절실하고 아름답게 다가온다","jegukjuuireul jina sinjayujuuie dadareugikkaji yeonggugi nara anpakkeuro jeojilreoon yamanjeok pokgeo, teukgwonjeok jiwiwa seongsosujaui jeongcheseongeul dongsie jinin juingongi machimnae matdaktteurineun hyeonsilsegye, jasinmanui dareun siganeul sseogaryeo aesseuneun momjisi jeolsilhago areumdapge dagaonda","It's a real world where the main character, with his privileged status and the identity of the sanctuary numbers, finally comes face to face with the most urgent and beautiful gesture of trying to use his own time, until he reaches the new liberalism.",10
"성소수자를 비롯한 모든 소수자에 대해 지금 우리 사회가 보이는 모습을 돌아보게 하는 이 작품의 문제의식은 출간된 지 수십년이 흐른 지금에도 여전히, 뼈아프게 유효하다","seongsosujareul birothan modeun sosujae daehae jigeum uri sahoega boineun moseubeul doraboge haneun i jakpumui munjeuisigeun chulgandoen ji susipnyeoni heureun jigeumedo yeojeonhi, ppyeoapeuge yuhyohada","The problem of this work that makes our society look at what we see now, including the Holy Numbers, is still painful, decades after its release.",9
"1983년 여름, 대처의 보수당 정권이 압승을 거두건 말건, 게이에 대한 사회의 시선이 따갑건 말건 스물다섯살의 귀족인 나, 윌리엄 벡위스는 ‘아주 잘나가는’ 중이다","1983nyeon yeoreum, daecheoui bosudang jeonggwoni apseungeul geodugeon malgeon, geie daehan sahoeui siseoni ttagapgeon malgeon seumuldaseotsarui gwijogin na, wilrieom begwiseuneun ‘aju jalnaganeun’ jungida","In the summer of 1983, whether the Hou's conservative regime takes over, whether it's a 15-year-old nobleman or a 15-year-old nobleman, William Bekweiss, who's in the middle of a very good time.",9
전직 검찰총장 조부가 사준 런던의 아파트에서 넘치는 부를 누리며 특정 직업 없이 낮이면 수영과 각종 운동으로 몸을 단련하고 밤이면 클럽에서 새로운 연애 상대를 찾는 생활을 한다,jeonjik geomchalchongjang jobuga sajun reondeonui apateueseo neomchineun bureul nurimyeo teukjeong jigeop eopsi najimyeon suyeonggwa gakjong undongeuro momeul danryeonhago bamimyeon keulreobeseo saeroun yeonae sangdaereul chatneun saenghwareul handa,"He has plenty of wealth in his London apartment bought by his former attorney general, and when it's day and day without a particular job, he trains himself with swimming and all kinds of exercise, and at night he lives in a club looking for a new lover.",10
지금은 얼마 전 만난 열일곱살 흑인 청소년 아서와 사랑에 빠져 동거하며 한창 즐기고 있다,jigeumeun eolma jeon mannan yeorilgopsal heugin cheongsonyeon aseowa sarange ppajyeo donggeohamyeo hanchang jeulgigo itda,"Now I'm in love with Arthur, a 17-year-old black teenager I just met, and I'm living with him and enjoying myself.",7
그러나 이 완벽함의 가장자리로 불길한 기운이 어른거린다,geureona i wanbyeokhamui gajangjariro bulgilhan giuni eoreungeorinda,But the edge of this perfection is full of ominous energy.,4
"아서는 뜻하지 않게 살인사건에 휘말려 도망자 신세가 되고, 나는 우연한 기회로 나이 든 귀족 찰스 낸트위치를 만나 독특한 우정을 나눈다","aseoneun tteuthaji anke sarinsageone hwimalryeo domangja sinsega doego, naneun uyeonhan gihoero nai deun gwijok chalseu naenteuwichireul manna dokteukhan ujeongeul nanunda","Arthur's unwisely drawn into a murder and became a fugitive, and I, by chance, shared a unique friendship with the aged nobleman Charles Nant Point.",8
"전기를 써달라는 찰스의 청에 따라 그의 일기를 읽으며 나는 같은 학교 동문에 같은 귀족 게이로서 그의 삶에 공감하지만, 한편 찰스와 주변 인물들이 주동해 불우한 청년들을 모아 벌이는 엽기적인 행각을 접하고 혐오와 혼란에 빠진다","jeongireul sseodalraneun chalseuui cheonge ttara geuui ilgireul ilgeumyeo naneun gateun hakgyo dongmune gateun gwijok geiroseo geuui salme gonggamhajiman, hanpyeon chalseuwa jubyeon inmuldeuri judonghae buruhan cheongnyeondeureul moa beorineun yeopgijeogin haenggageul jeophago hyeomowa honrane ppajinda","As I read his diary on Charles' request to use electricity, I agree with his life as a nobleman in the same school, while Charles and his fellow figures gather together their unhappy young men and I encounter a phoenix of disgust and confusion.",10
"새로운 연인 필과 보내는 다정하고 고요한 사랑의 시간에 스킨헤드족의 끔찍한 폭력과 둘도 없는 친구 제임스의 체포가 끼어들고, 나는 한번도 생각지 못한 낯선 폭력 앞에서 비로소 막강한 현실의 벽을 실감한다","saeroun yeonin pilgwa bonaeneun dajeonghago goyohan sarangui sigane seukinhedeujogui kkeumjjikhan pokryeokgwa duldo eopneun chingu jeimseuui chepoga kkieodeulgo, naneun hanbeondo saenggakji mothan natseon pokryeok apeseo biroso makganghan hyeonsirui byeogeul silgamhanda","In a loving, loving hour with my new lover Phil, the terrible violence of the skinhead and the arrest of my dear friend James, and I realize the strong wall of reality that I've never thought of before.",10
가장 특권적 지위에 있지만 가장 배척받는 처지라는 자각으로 휘청거리는 나 앞에 찰스가 건넨 새로운 기록물은 상상도 못 했던 충격적 비밀을 드러낸다,gajang teukgwonjeok jiwie itjiman gajang baecheokbatneun cheojiraneun jagageuro hwicheonggeorineun na ape chalseuga geonnen saeroun girokmureun sangsangdo mot haetdeon chunggyeokjeok bimireul deureonaenda,"In front of me, in the most privileged position but in the most rejected position, a new record reveals a shocking secret I never imagined.",9
"새 연인으로부터, 가족의 과거로부터, 자기 자신으로부터 배신당한 윌, 그가 써내려가는 새로운 시간은 어떤 모습일까","sae yeonineurobuteo, gajogui gwageorobuteo, jagi jasineurobuteo baesindanghan wil, geuga sseonaeryeoganeun saeroun siganeun eotteon moseubilkka","From the new lover, from the family's past, from the one who has been betrayed by Will himself, what's the new time he's been writing down?",7
소설은 여러겹을 지닌 인물들을 여러겹의 시선으로 바라보며 진행된다,soseoreun yeoreogyeobeul jinin inmuldeureul yeoreogyeobui siseoneuro barabomyeo jinhaengdoenda,The novel goes on looking at multiple layers of characters with multiple eyes.,4
주인공 윌은 찰스의 과거와 현재를 본다,juingong wireun chalseuui gwageowa hyeonjaereul bonda,"The main character, Will, sees the past and the present of Charles.",3
"독자는 윌이 보는 찰스를 보고, 그를 보는 윌을 본다","dokjaneun wiri boneun chalseureul bogo, geureul boneun wireul bonda","You see him, you see him, you see him.",5
성소수자로서 박해받은 선량한 자선가지만 제국의 식민지 관리였던 찰스는 그 나름의 맹점을 지녔다,seongsosujaroseo bakhaebadeun seonryanghan jaseongajiman jegugui sikminji gwanriyeotdeon chalseuneun geu nareumui maengjeomeul jinyeotda,"Charles, who was an imperial colonialist, had his own blind spot.",6
"윌은 그런 면을 거부하지만, 스스로 편견에서 자유롭고 아무 거리낄 것 없는 듯한 그 역시 한계는 뚜렷하다","wireun geureon myeoneul geobuhajiman, seuseuro pyeongyeoneseo jayuropgo amu georikkil geot eopneun deuthan geu yeoksi hangyeneun tturyeothada","He refuses to do that, but he also seems to be free of prejudice and no distraction, and the limit is clear.",7
"동성애에 대한 사회의 낙인과 혐오만큼이나 흑인의 아름다움과 특성에 대한 찰스의 숭배 또한 편견이며, 불우한 10대를 연애 상대로 삼아 그들이 못 누린 것들을 베푸는 윌의 위선적 모습 역시 사회적 편견에 깊이 젖어 있기는 마찬가지다","dongseongaee daehan sahoeui nagingwa hyeomomankeumina heuginui areumdaumgwa teukseonge daehan chalseuui sungbae ttohan pyeongyeonimyeo, buruhan 10daereul yeonae sangdaero sama geudeuri mot nurin geotdeureul bepuneun wirui wiseonjeok moseup yeoksi sahoejeok pyeongyeone gipi jeojeo itgineun machangajida","Charles' worship of beauty and character, as well as the stigma and disgust of the society of homosexuality, is a prejudice, a hypocritical display of Will as a lover of the underprivileged teenager who gives them what they don't enjoy.",10
이런 겹겹의 시선은 사회와 인간 본래의 복잡성을 효과적으로 드러내는 장치다,ireon gyeopgyeobui siseoneun sahoewa ingan bonraeui bokjapseongeul hyogwajeogeuro deureonaeneun jangchida,This layer of vision is an effective manifestation of the complexity of society and human nature.,5
"일기라는 가장 내밀한 기록 속에 드러나는 세계제국 영국 역사의 치부, 성이라는 가장 사적인 생활에 개입된 계급적 한계가 사회 최상류층이자 최약자로서 찰스와 윌을 통해 구현되면서 소설은 두터운 현실감을 얻는다","ilgiraneun gajang naemilhan girok soge deureonaneun segyejeguk yeongguk yeoksaui chibu, seongiraneun gajang sajeogin saenghware gaeipdoen gyegeupjeok hangyega sahoe choesangryucheungija choeyakjaroseo chalseuwa wireul tonghae guhyeondoemyeonseo soseoreun duteoun hyeonsilgameul eotneunda","The novel gets a lot of reality when the hierarchy of the world empire's history, the most private life of sex, is implemented through Charles and Will as the top class of society.",10
작가 특유의 정교한 구성과 섬세하고 날렵한 문체에 읽는 재미를 더하는 것은 군데군데 숨은 풍자다,jakga teugyuui jeonggyohan guseonggwa seomsehago nalryeophan munchee ikneun jaemireul deohaneun geoseun gundegunde sumeun pungjada,Adding to the writer's elaborate composition and the enjoyment of reading the delicate and elusive style is a hidden satire.,7
"영국 왕위계승 서열을 그대로 따른 주요 인물들의 이름, 저소득층을 상대로 자선을 베푸는 한편 그들을 꾀어 포르노 영화를 찍으며 감상하는 사진가의 이름에 오점, 얼룩(stain)의 뜻이 담긴 점, 아르헨띠나인과 영국의 포클랜드 침략에 관해 대화를 나누면서 윌이 거꾸로 희롱당하는 입장에 처하는 장면 등은 우스꽝스럽게 비틀어 그려낸 사회의 일그러진 면면이다","yeongguk wangwigyeseung seoyeoreul geudaero ttareun juyo inmuldeurui ireum, jeosodeukcheungeul sangdaero jaseoneul bepuneun hanpyeon geudeureul kkoeeo poreuno yeonghwareul jjigeumyeo gamsanghaneun sajingaui ireume ojeom, eolruk(stain)ui tteusi damgin jeom, areuhenttinaingwa yeonggugui pokeulraendeu chimryage gwanhae daehwareul nanumyeonseo wiri geokkuro huirongdanghaneun ipjange cheohaneun jangmyeon deungeun useukkwangseureopge biteureo geuryeonaen sahoeui ilgeureojin myeonmyeonida","The name of the main figures who followed the British throne, the name of the low-income, the name of the photographer who lured them to film porn and admire them, the meaning of the stain, the conversation between Argentin and the British invasion of Falkland, and Will being harassed backwards, is a funny way of looking at society.",10
『아름다움의 선』에서 “요새 새로 명성을 누리기 시작한 우익의 잘생긴 늙다리 파충류”(335면)로 묘사된 데니스 벡위스가 주인공 윌의 할아버지라는 연결점은 이미 『아름다움의 선』을 읽은 독자들에게 색다른 재미를 줄 것이다,『areumdaumui seon』eseo “yosae saero myeongseongeul nurigi sijakhan uigui jalsaenggin neukdari pachungryu”(335myeon)ro myosadoen deniseu begwiseuga juingong wirui harabeojiraneun yeongyeoljeomeun imi 『areumdaumui seon』eul ilgeun dokjadeurege saekdareun jaemireul jul geosida,"The connection that Dennis Bekweiss, described as ""the handsome old reptile of the right, who started his new fame in the fortifications,"" will give readers an unusual treat.",10
제목 ‘수영장 도서관’은 사춘기 소년 윌이 최초로 성적 호기심을 만족시킨 장소를 이르던 은어이다,jemok ‘suyeongjang doseogwan’eun sachungi sonyeon wiri choechoro seongjeok hogisimeul manjoksikin jangsoreul ireudeon euneoida,"The title Library of the swimming pool is The Eun-O, where the adolescent boy Will first met his sexual curiosity.",6
"학창 시절의 풋풋한 욕망을 상징하는 수영장 도서관은 이후 소설 속에서 윌이 거의 매일 드나드는 클럽 코리의 수영장으로, 찰스의 집 지하에 있는 로마 시대 목욕탕으로 변주되며 다양한 욕망의 장소로 드러난다","hakchang sijeorui putputhan yokmangeul sangjinghaneun suyeongjang doseogwaneun ihu soseol sogeseo wiri geoui maeil deunadeuneun keulreop koriui suyeongjangeuro, chalseuui jip jihae itneun roma sidae mogyoktangeuro byeonjudoemyeo dayanghan yokmangui jangsoro deureonanda","The swimming library, which symbolizes the tender desires of my school years, is later in the novel the club Corey's swimming pool, which he comes in almost daily, is transformed into a Roman bathhouse in the basement of Charles' house, and turns into a place of various desires.",10
『아름다움의 선』이 1983년 당대를 배경으로 한다면 『수영장 도서관』은 폭을 넓혀 제국주의 시대 영국과 1983년 현재를 교차하며 짜낸 사회적 풍경화다,『areumdaumui seon』i 1983nyeon dangdaereul baegyeongeuro handamyeon 『suyeongjang doseogwan』eun pogeul neolhyeo jegukjuui sidae yeonggukgwa 1983nyeon hyeonjaereul gyochahamyeo jjanaen sahoejeok punggyeonghwada,"If you think about it, if you think of it as the beginning of 1983, you'll see that the library of the swimming pool is a social landscape that intersects Britain in the days of imperialism and the present in 1983.",8
또한 무모한 젊음의 빛나는 허랑함이 현실에 부딪혀 스스로의 껍질을 부수고 “나 같은 사람들과의 연대의식”(382면)을 느끼는 지점으로 나아가는 한 개인의 성장기이기도 하다,ttohan mumohan jeolmeumui bitnaneun heoranghami hyeonsire budithyeo seuseuroui kkeopjireul busugo “na gateun saramdeulgwaui yeondaeuisik”(382myeon)eul neukkineun jijeomeuro naaganeun han gaeinui seongjanggiigido hada,It's also a growing time for one individual to feel a sense of solidarity (on page 382) and break his shell when the sheer vanity of reckless youth hits reality.,9
"주인공 윌과 찰스는 출신 학교와 성정체성, 사회적 지위 같은 많은 공통점에도 불구하고 시대의 차이로 인해 살아온 모습이 뚜렷이 다르다","juingong wilgwa chalseuneun chulsin hakgyowa seongjeongcheseong, sahoejeok jiwi gateun maneun gongtongjeomedo bulguhago sidaeui chairo inhae saraon moseubi tturyeosi dareuda","The characters Will and Charles, despite all the things they have in common, such as the schools they come from, the gender identity, the social status, they're very different from what they've been through at different times.",8
이는 곧 20세기 영국(뿐만 아니라 대부분의 나라)에서 성소수자들이 당해온 부당한 폭력의 역사이기도 하다,ineun got 20segi yeongguk(ppunman anira daebubunui nara)eseo seongsosujadeuri danghaeon budanghan pokryeogui yeoksaigido hada,This is the history of unjust violence suffered by the Holy Grails in 20th-century England (not only in most countries).,6
"1900년생으로 “[20]세기와 같이 나이를 먹는”(383면) 인물인 찰스는 빅토리아 여왕(재위 1837~1901)이 죽기 한해 전, 곧 빅토리아 시대가 최고조에 달한 시기에 태어난 인물이다","1900nyeonsaengeuro “[20]segiwa gati naireul meokneun”(383myeon) inmurin chalseuneun biktoria yeowang(jaewi 1837~1901)i jukgi hanhae jeon, got biktoria sidaega choegojoe dalhan sigie taeeonan inmurida","Charles, a 1900-year-old [as in the 20th century], was born the year before Queen Victoria died, when the Victorians were at their peak.",9
"동성애에 대한 영국 사회의 태도라는 관점에서 보면, 영국 동성애사에 한 획을 그은 사건이자 빅토리아 시대의 성격을 전형적으로 보여주는 1885년의 라부셰르 개정법 통과 이후이다","dongseongaee daehan yeongguk sahoeui taedoraneun gwanjeomeseo bomyeon, yeongguk dongseongaesae han hoegeul geueun sageonija biktoria sidaeui seonggyeogeul jeonhyeongjeogeuro boyeojuneun 1885nyeonui rabusyereu gaejeongbeop tonggwa ihuida","In terms of the attitude of British society toward homosexuality, he's going to do a move on British gay history after he passed the Rabucher revision of 1885, which is a classic representation of the character of the time of his case, Victoria.",9
"그전까지는 광범위한 동성애 박해에도 불구하고 그 처벌의 법적 근거가 분명하지 않았다면, 공적·사적인 모든 동성애 행위를 범죄로 간주한 이 법의 통과 이후 영국에서는 좀더 체계적이고 당당하게 소수자인 동성애자들을 박해할 수 있게 되었다","geujeonkkajineun gwangbeomwihan dongseongae bakhaeedo bulguhago geu cheobeorui beopjeok geungeoga bunmyeonghaji anatdamyeon, gongjeok·sajeogin modeun dongseongae haengwireul beomjoero ganjuhan i beobui tonggwa ihu yeonggugeseoneun jomdeo chegyejeogigo dangdanghage sosujain dongseongaejadeureul bakhaehal su itge doeeotda","Until then, if the legal grounds for punishment had not been clear in spite of widespread homosexual persecutions, then after the passage of this law, which considered all official or private homosexual acts to be crimes, the British could have been more systematically and proudly persecuting the minority.",10
이 법으로 인해 오스카 와일드를 비롯한 많은 동성애자가 무자비한 탄압의 희생자가 된 것은 이제 널리 알려진 사실이다,i beobeuro inhae oseuka waildeureul birothan maneun dongseongaejaga mujabihan tanabui huisaengjaga doen geoseun ije neolri alryeojin sasirida,It is now widely known that this law has made Oscar Wilde and many other homosexuals the victims of ruthless oppression.,8
이 법의 엄격한 적용으로 법 제정 이래 80여년 동안 동성애자들은 단지 다른 방식으로 사랑을 나눈다는 이유만으로 정치적 필요에 따른 탄압의 대상이 되었다,i beobui eomgyeokhan jeogyongeuro beop jejeong irae 80yeonyeon dongan dongseongaejadeureun danji dareun bangsigeuro sarangeul nanundaneun iyumaneuro jeongchijeok piryoe ttareun tanabui daesangi doeeotda,"For over 80 years since the strict application of this law, homosexuals have been the target of political oppression just because they love in a different way.",9
"생애의 대부분을 식민지 관리로 보낸 귀족 찰스 역시, 그 신분과 지위에도 불구하고 동성애자이기 때문에 1950년대 초 이 법에 따라 재판을 받고 징역형을 살게 된다","saengaeui daebubuneul sikminji gwanriro bonaen gwijok chalseu yeoksi, geu sinbungwa jiwiedo bulguhago dongseongaejaigi ttaemune 1950nyeondae cho i beobe ttara jaepaneul batgo jingyeokhyeongeul salge doenda","Charles, who spent most of his life as a colonialist, is also a homosexual, despite his status and status, so in the early 1950s, he was tried and sentenced to life in prison.",9
반면 1958년생인 윌리엄은 1950년대 함정수사에 의한 마녀사냥식의 법집행에 대한 반동으로 라부셰르법의 적용이 느슨해진 시기에 나서 자랐다,banmyeon 1958nyeonsaengin wilrieomeun 1950nyeondae hamjeongsusae uihan manyeosanyangsigui beopjiphaenge daehan bandongeuro rabusyereubeobui jeogyongi neuseunhaejin sigie naseo jaratda,"William, on the other hand, who was born in 1958, grew up in the late 1950s, when the law of Rabucher was relaxed, in reaction to the law of witch-hunting by a trap investigation.",7
"1950년대 초반의 강력 단속 이후 대두한 여론 덕분에 1957년에 이 법의 완화를 권고하는 울펜든 보고서(Wolfenden Report)가 작성되었고, 1967년에는 21세 이상 성인 간의 사적인 동성애 행위는 처벌하지 않는 새로운 성범죄법이 제정된 것이다","1950nyeondae chobanui gangryeok dansok ihu daeduhan yeoron deokbune 1957nyeone i beobui wanhwareul gwongohaneun ulpendeun bogoseo(Wolfenden Report)ga jakseongdoeeotgo, 1967nyeoneneun 21se isang seongin ganui sajeogin dongseongae haengwineun cheobeolhaji anneun saeroun seongbeomjoebeobi jejeongdoen geosida","In 1957 the Wolfenden Report, which recommends the ease of this law, was published, thanks to the big public opinion since the early 1950s, and in 1967, a new law against sexual offenses between adults, which did not punish.",10
"물론 이성 간 성행위의 법적 허용 연령에 비하면 이 법 역시 10대 후반 청년들과 관련한 성행위에 가혹한 법이었고, 어디까지가 사적 성행위인지에 대한 규정이 모호해서 동성애자 탄압은 정치권의 필요에 따라 지속되었다","mulron iseong gan seonghaengwiui beopjeok heoyong yeonryeonge bihamyeon i beop yeoksi 10dae huban cheongnyeondeulgwa gwanryeonhan seonghaengwie gahokhan beobieotgo, eodikkajiga sajeok seonghaengwiinjie daehan gyujeongi mohohaeseo dongseongaeja tanabeun jeongchigwonui piryoe ttara jisokdoeeotda","Of course, compared to the legal age of sexual intercourse between the sexes, this law was also severe against sexual activity involving young men in their late teens, and because of the vagueness of the rules as to where the sexual act was committed, gay oppression continued according to the need for political authority.",10
"특히, 이 소설의 배경인 1983년 이후에도 빅토리아 시대를 방불케 하는 동성애자 마녀사냥이 부활한다","teukhi, i soseorui baegyeongin 1983nyeon ihuedo biktoria sidaereul bangbulke haneun dongseongaeja manyeosanyangi buhwalhanda","Especially after 1983, the background of this novel, the gay witch hunts that are going to make the Victoria era go away.",6
1984년 무렵 시작해서 10여년 이상 계속된 에이즈 유행을 빌미로 대처의 보수당 정권이 집권 3기인 1988년에 공공기관에서 동성애 장려활동 금지를 규정한 법안 ‘섹션 28’을 통과시켰기 때문이다,1984nyeon muryeop sijakhaeseo 10yeonyeon isang gyesokdoen eijeu yuhaengeul bilmiro daecheoui bosudang jeonggwoni jipgwon 3giin 1988nyeone gonggonggigwaneseo dongseongae jangryeohwaldong geumjireul gyujeonghan beoban ‘seksyeon 28’eul tonggwasikyeotgi ttaemunida,"Because it started around 1984, and over a decade later, the conservative regime of Vilmy responded to the AlDS epidemic passed the Act of 28 in 1988, which defined the ban on gay incentives by public agencies.",9
이전보다 나아졌다고는 하지만 그 이면에 자리한 혐오와 차별의 뿌리는 그리 달라지지 않았는지도 모른다,ijeonboda naajyeotdagoneun hajiman geu imyeone jarihan hyeomowa chabyeorui ppurineun geuri dalrajiji anatneunjido moreunda,But the roots of hatred and discrimination behind it may not have changed much.,6
이 책은 홀링허스트의 후기 작품들에 비해 더 날것 같고 더 쾌락주의적이다,i chaegeun holringheoseuteuui hugi jakpumdeure bihae deo nalgeot gatgo deo kwaerakjuuijeogida,"This book is more likely to fly than Hallinghurst's later works, and is more hedonistic.",6
나는 그 점이 아주 마음에 든다,naneun geu jeomi aju maeume deunda,I love that.,3
진짜로 섹시하다,jinjjaro seksihada,It's really hot.,1
윌리엄 벡위스는 그의 난잡한 성생활에 대해 엄청난 특권을 누리며 완전히 당당하다,wilrieom begwiseuneun geuui nanjaphan seongsaenghware daehae eomcheongnan teukgwoneul nurimyeo wanjeonhi dangdanghada,"William Bekweis has tremendous privileges for his promiscuous sexual life, and he's absolutely proud.",6
이 작품을 통해 에이즈가 덮치기 이전의 런던 퀴어 커뮤니티를 엿볼 수 있다,i jakpumeul tonghae eijeuga deopchigi ijeonui reondeon kwieo keomyunitireul yeotbol su itda,"With this work, we can scan the London Queen community before the AIDS attack.",6
"앨런 홀링허스트는 옥스퍼드 대학 모들린 칼리지에서 영문학을 공부했고, E","aelreon holringheoseuteuneun okseupeodeu daehak modeulrin kalrijieseo yeongmunhageul gongbuhaetgo, E","Alan Holinghurst studied English literature at Oxford University, Madeline College, and E.",5
포스터를 비롯한 세명의 게이 작가에 대한 연구로 석사학위를 받았다,poseuteoreul birothan semyeongui gei jakgae daehan yeonguro seoksahagwireul badatda,"I got my master's degree from a study of three gay writers, including Foster.",5
